"Number","Building","Date","Team","Latitude","Longitude","Pictures","Diagram","Priority Index  [%]","Number of  Floors","Roof  Type","First Floor Area  [ft²]","Total Floor Area  [ft²]","Column Area  [ft²]","Ace  [ft²]","Concrete Wall  Area N-S [ft²]","Concrete Wall  Area E-W [ft²]","Masonry Wall  Area N-S [ft²]","Masonry Wall  Area E-W [ft²]","Effective  Wall Area","Wall Index  [%]","Column Index  [%]","Priority Index  [%]","Reinforced  Concrete Damage","Masonry Wall  Damage","Photographer","Permenant  Drift","Captive  Columns","Notes",
"1","A001","26-Jun","A","18° 33' 16.1"" N","72° 18' 12.1"" W","https://nees.org/site/collections/haiti/mainpics/A001.JPG","https://nees.org/site/collections/haiti/Diagrams/A001-Diagram.pdf","0.17","2","Concrete","9661","19321","67","33","0","0","0","102","0","0","0.17","0.17","Severe","Severe","Steeve","N","Y","Pic. 1544 for arch. Detail on E. side/ ~2"" mortar cover on bldg. cols.",
"2","A002","26-Jun","A","18° 33' 15.7"" N","72° 18' 10.7"" W","https://nees.org/site/collections/haiti/mainpics/A002.JPG","https://nees.org/site/collections/haiti/Diagrams/A002-Diagram.pdf","0.17","1","Concrete","6209","6209","22","11","0","0","0","18","0","0","0.17","0.17","Light","Severe","Steeve","N","N","Bldg. workers said that cols. were slighlty damaged and masonry walls were severely damaged.  Majority of damage in masonry walls.",
"3","A003(1)","26-Jun","A","18° 30' 42"" N","72° 17' 14.6"" W","https://nees.org/site/collections/haiti/mainpics/A003.JPG","https://nees.org/site/collections/haiti/Diagrams/A003-Diagram.pdf","0.16","3","Concrete","1785","5354","16","8","0","0","15","4","0","0.01","0.15","0.16","Light","Light","Steeve","N","N","Minimal damage to structure - Bldg. A003-2 right next to structure.",
"4","A003(2)","26-Jun","A","18° 30' 42"" N","72° 17' 14.6"" W","https://nees.org/site/collections/haiti/mainpics/A003.JPG","https://nees.org/site/collections/haiti/Diagrams/A003-Diagram.pdf","0.23","2","Concrete","1667","3333","15","8","0","0","11","0","0","0","0.23","0.23","Light","Light","Steeve","N","N","Minimal damage to structure - Bldg. A003-1 right next to structure.",
"5","A005","26-Jun","A","18° 31' 5.2"" N","72° 16' 56"" W","https://nees.org/site/collections/haiti/mainpics/A005.JPG","https://nees.org/site/collections/haiti/Diagrams/A005-Diagram.pdf","0.19","3","Concrete","1028","3084","8","4","0","0","40","19","2","0.06","0.13","0.19","Severe","Severe","Santiago","N","Y","Buckled bars on second floor south side.",
"6","A006","27-Jun","A","18° 32' 55.1"" N","72° 18' 11.5"" W","https://nees.org/site/collections/haiti/mainpics/A006.JPG","https://nees.org/site/collections/haiti/Diagrams/A006-Diagram.pdf","0.18","2","Concrete","1566","3132","7","3","0","0","24","32","2","0.08","0.11","0.18","Severe","Severe","Steeve","N","N","Severe damage to masonry walls and structure.",
"7","A007","27-Jun","A","18° 32' 56.1"" N","72° 18' 13.9"" W","https://nees.org/site/collections/haiti/mainpics/A007.JPG","https://nees.org/site/collections/haiti/Diagrams/A007-Diagram.pdf","0.14","2","Concrete","2414","4828","8","4","0","0","27","39","3","0.06","0.08","0.14","Moderate","Severe","Steeve","N","N","Could not enter home, so some dimensions are assumed.",
"8","A008","27-Jun","A","18° 32' 55.7"" N","72° 18' 24.6"" W","https://nees.org/site/collections/haiti/mainpics/A008.JPG","https://nees.org/site/collections/haiti/Diagrams/A008-Diagram.pdf","0.24","2","Concrete","8320","16640","69","35","0","0","58","47","5","0.03","0.21","0.24","Severe","Severe","Steeve","N","Y","Windows along all perimeter walls w/o masonry.  Added walls as estimate due to complex interior masonry walls.  Complex masonry walls had many openings .(doors, storage access points).  Original drawing was messy due to confusion about fake exterior columns.",
"9","A009","N/A","A","","","https://nees.org/site/collections/haiti/mainpics/A009.JPG","","","0","N/A","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","N/A","N/A","Ignored due to complications with calculating roof index.",
"10","A010","27-Jun","A","18° 33' 3.4"" N","72° 18' 29.7"" W","https://nees.org/site/collections/haiti/mainpics/A010.JPG","https://nees.org/site/collections/haiti/Diagrams/A010-Diagram.pdf","0.26","2","Concrete","1830","3659","13","6","0","0","61","33","3","0.09","0.17","0.26","Severe","Severe","Steeve","N","N","One story overhang in front of structure.",
"11","A011","27-Jun","A","18° 33' 14.7"" N","72° 18' 30.8"" W","https://nees.org/site/collections/haiti/mainpics/A011.JPG","https://nees.org/site/collections/haiti/Diagrams/A011-Diagram.pdf","0.26","2","Concrete","3157","6313","28","14","0","0","47","23","2","0.04","0.22","0.26","Light","Moderate","Kari","N","Y","One story overhang in front of structure.",
"12","A012","27-Jun","A","18° 32' 24.5"" N","72° 19' 2.4"" W","https://nees.org/site/collections/haiti/mainpics/A012.JPG","https://nees.org/site/collections/haiti/Diagrams/A012-Diagram.pdf","0.51","1","Concrete","2725","2725","25","13","0","0","18","13","1","0.05","0.46","0.51","Severe","Severe","Kari","N","Y","Captive columns present, but did not fail.",
"13","A013","27-Jun","A","18° 32' 22.9"" N","72° 20' 30.1"" W","https://nees.org/site/collections/haiti/mainpics/A013.JPG","https://nees.org/site/collections/haiti/Diagrams/A013-Diagram.pdf","0.29","2","Concrete","2984","5969","35","17","0","0","0","42","0","0","0.29","0.29","Moderate","Light","Jeff","NA","Y","Height of 1st story is 13 feet.  Drawing of captive columns is available on building data form.",
"14","A014","27-Jun","A","18° 32' 17.7"" N","72° 20' 23.6"" W","https://nees.org/site/collections/haiti/mainpics/A014.JPG","https://nees.org/site/collections/haiti/Diagrams/A014-Diagram.pdf","0.22","3","Concrete","3004","9011","35","18","0","0","89","25","3","0.03","0.19","0.22","Severe","Severe","Santiago","N","Y","Faculty of the UEH Medicine.",
"15","A015","27-Jun","A","18° 32' 13"" N","72° 20' 0.9"" W","https://nees.org/site/collections/haiti/mainpics/A015.JPG","https://nees.org/site/collections/haiti/Diagrams/A015-Diagram.pdf","0.14","2","Concrete","5990","11980","34","17","0","0","0","61","0","0","0.14","0.14","Light","Light","Santiago","N","N","Light damage only.",
"16","A016","N/A","A","","","https://nees.org/site/collections/haiti/mainpics/A016.JPG","","","0","N/A","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","N/A","N/A","Ignored.",
"17","A017","28-Jun","A","18° 30' 40"" N","72° 37' 58.6"" W","https://nees.org/site/collections/haiti/mainpics/A017.JPG","https://nees.org/site/collections/haiti/Diagrams/A017-Diagram.pdf","0.23","2","Concrete","1096","2191","3","1","0","0","37","59","4","0.17","0.06","0.23","N/A","Severe","Kari","N","N","Only 6 columns visible.",
"18","A018","28-Jun","A","18° 30' 34.4"" N","72° 37' 57.5"" W","https://nees.org/site/collections/haiti/mainpics/A018.JPG","https://nees.org/site/collections/haiti/Diagrams/A018-Diagram.pdf","0.2","2","Concrete","1387","2774","4","2","0","0","32","67","3","0.12","0.08","0.2","Light","Severe","Kari","N","N","Pharmacy building.",
"19","A019","28-Jun","A","18° 30' 30.1"" N","72° 37' 54.1"" W","https://nees.org/site/collections/haiti/mainpics/A019.JPG","https://nees.org/site/collections/haiti/Diagrams/A019-Diagram.pdf","0.33","2","Concrete","3466","6932","32","16","0","0","78","67","7","0.1","0.23","0.33","Light","Light","Kari","N","N","Foundation is larger than the plan view of the building and most of the damage occurred around the perimeter of the building.",
"20","A020","28-Jun","A","18° 30' 34.7"" N","72° 37' 52.1"" W","https://nees.org/site/collections/haiti/mainpics/A020.JPG","https://nees.org/site/collections/haiti/Diagrams/A020-Diagram.pdf","0.34","2","Concrete","1260","2520","15","8","0","0","19","9","1","0.04","0.3","0.34","Severe","Severe","Kari","N","N","Damage due to liquefaction of the soil visible.",
"21","A021","28-Jun","A","18° 30' 43.5"" N","72° 37' 49.2"" W","https://nees.org/site/collections/haiti/mainpics/A021.JPG","https://nees.org/site/collections/haiti/Diagrams/A021-Diagram.pdf","0.14","2","Concrete","2763","5526","8","4","0","0","50","40","4","0.07","0.07","0.14","Light","Moderate","Kari","N","N","House.",
"22","A022","28-Jun","A","18° 30' 40.3"" N","72° 37' 52.3"" W","https://nees.org/site/collections/haiti/mainpics/A022.JPG","https://nees.org/site/collections/haiti/Diagrams/A022-Diagram.pdf","0.12","2","Concrete","2413","4826","11","6","0","0","3","62","0","0.01","0.12","0.12","Light","Severe","Kari","N","N","Kindergarten .",
"23","A023","29-Jun","A","18° 33' 45.2"" N","72° 17' 41.4"" W","https://nees.org/site/collections/haiti/mainpics/A023.JPG","https://nees.org/site/collections/haiti/Diagrams/A023-Diagram.pdf","0.28","2","Concrete","1513","3026","14","7","0","0","12","33","1","0.04","0.24","0.28","Light","Moderate","Kari","N","N","Only a few (small) shear cracks running through the walls - one in the SW front wall and one on the N side wall.",
"24","A024","29-Jun","A","18° 33' 42.5"" N","72° 17' 35.6"" W","https://nees.org/site/collections/haiti/mainpics/A024.JPG","https://nees.org/site/collections/haiti/Diagrams/A024-Diagram.pdf","0.16","2","Concrete","1541","3082","7","3","0","0","17","42","2","0.06","0.11","0.16","Light","Moderate","Kari","N","N","W = window, 13 columns observed from roof.",
"25","A025(1)","29-Jun","A","18° 32' 6.6"" N","72° 19' 36.7"" W","https://nees.org/site/collections/haiti/mainpics/A025.JPG","https://nees.org/site/collections/haiti/Diagrams/A025-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/A025-Diagram-2.pdf, https://nees.org/site/collections/haiti/Diagrams/A025-Diagram-3.pdf","0.18","3","Concrete","6914","20798","62","31","0","0","70","111","7","0.03","0.15","0.18","Light","Moderate","Santiago","N","N","Some damage to masonry walls, but damaged had already been patched.  Given the cracks were inclined, we assumed a moderate level of damage.  Open brick masonry walls on north side of building, masonry looks like brick on its side. (Four school buildings at one location - Primary, Secondary, and Kindergarten.)",
"26","A025(2)","29-Jun","A","18° 32' 6.6"" N","72° 19' 36.7"" W","https://nees.org/site/collections/haiti/mainpics/A025.JPG","https://nees.org/site/collections/haiti/Diagrams/A025-Diagram.pdf","0.31","2","Concrete","1005","2067","13","6","0","0","17","0","0","0","0.31","0.31","Light","Light","Santiago","N","Y","No shear cracks visible in columns or walls.  It was assumed that the column dimension in the N-S direction was 20"" (conservative approximation).",
"27","A025(3)","29-Jun","A","18° 32' 6.6"" N","72° 19' 36.7"" W","https://nees.org/site/collections/haiti/mainpics/A025.JPG","https://nees.org/site/collections/haiti/Diagrams/A025-Diagram.pdf","0.27","2","Concrete","1776","3609","20","10","0","0","0","20","0","0","0.27","0.27","Moderate","Light","Santiago","N","Y","Small shear cracks observed in building columns, see pictures. (Four school buildings at one location - Primary, Secondary, and Kindergarten).",
"28","A025(4)","29-Jun","A","18° 32' 6.6"" N","72° 19' 36.7"" W","https://nees.org/site/collections/haiti/mainpics/A025.JPG","https://nees.org/site/collections/haiti/Diagrams/A025-Diagram.pdf","0.3","2","Concrete","1237","2532","14","7","0","0","4","47","0","0.02","0.28","0.3","Moderate","Light","Santiago","N","Y","Small shear cracks in columns. (Four school buildings at one location - Primary, Secondary, and Kindergarten).",
"29","A026","29-Jun","A","18° 32' 8.3"" N","72° 19' 30.1"" W","https://nees.org/site/collections/haiti/mainpics/A026.JPG","https://nees.org/site/collections/haiti/Diagrams/A026-Diagram.pdf","0.13","4","Concrete","5603","22471","40","20","0","0","87","130","9","0.04","0.09","0.13","Light","Light","Santiago","N","N","There was an opening in the center of the structure that affected three of the floors.  It was a new hospital that began construction prior to the earthquake.",
"30","A027","29-Jun","A","18° 32' 19.9"" N","72° 19' 20.5"" W","https://nees.org/site/collections/haiti/mainpics/A027.JPG","https://nees.org/site/collections/haiti/Diagrams/A027-Diagram.pdf","0.11","4","Concrete","4480","17979","27","14","0","0","69","75","7","0.04","0.08","0.11","Severe","Severe","Santiago","Y","Y","Most columns have exposed rebar w/ buckled bars.  Large shear cracks that you can see through in walls.",
"31","A029","1-Jul","A","18° 33' 44.4"" N","72° 17' 46.3"" W","https://nees.org/site/collections/haiti/mainpics/A029.JPG","https://nees.org/site/collections/haiti/Diagrams/A029-Diagram.pdf","0.61","1","Concrete","4265","4265","43","22","0","0","42","52","4","0.1","0.51","0.61","Moderate","Moderate","Santiago","N","Y","Building of Mines and etc. (Val's home).  Shear crack through column - captive columns noted.",
"32","AD071","1-Jul","A&D","18° 33' 5.1"" N","72° 18' 40.7"" W","https://nees.org/site/collections/haiti/mainpics/AD071.JPG","https://nees.org/site/collections/haiti/Diagrams/AD071-Diagram.pdf","0.29","2","Concrete","5400","10800","54","27","0","0","111","45","5","0.04","0.25","0.29","Severe","Severe","N/A","N","Y","Copy business - had been repaired, but we obtained information about the damage from the owner.  24""x24"" cols. marked on first data page was wrong, the columns were actually being repaired and the size was increased.",
"33","AD072","1-Jul","A&D","18° 32' 57.9"" N","72° 18' 29.7"" W","https://nees.org/site/collections/haiti/mainpics/AD072.JPG","https://nees.org/site/collections/haiti/Diagrams/AD072-Diagram.pdf","0.26","2","Concrete","7644","15288","72","36","0","0","75","38","4","0.02","0.23","0.26","Severe","Severe","Santiago","Y","Y","Captive columns in front row of building, buckled column bars and splices in front.",
"34","AD073","1-Jul","A&D","18° 32' 57.4"" N","72° 18' 27.9"" W","","https://nees.org/site/collections/haiti/Diagrams/AD073-Diagram.pdf","0.65","2","Concrete","2418","4836","45","22","9","5","101","43","9","0.19","0.46","0.65","Moderate","Severe","Jeff","N","Y","Couldn't consistently measure walls, no 1st floor access permitted (possibly more shear walls), calc includes 8'x8' conc. elevator core.",
"35","AD074","1-Jul","A&D","18° 32' 54.1"" N","72° 18' 19.5"" W","https://nees.org/site/collections/haiti/mainpics/AD074.JPG","https://nees.org/site/collections/haiti/Diagrams/AD074-Diagram.pdf","0.22","3","Concrete","2758","8274","31","16","0","0","62","23","2","0.03","0.19","0.22","Light","Light","Santiago","N","Y","East side is 3-story and west side is 4-story.",
"36","AD075","1-Jul","A&D","18° 33' 18.7"" N","72° 19' 9.8"" W","https://nees.org/site/collections/haiti/mainpics/AD075.JPG","https://nees.org/site/collections/haiti/Diagrams/AD075-Diagram.pdf","0.14","4","Concrete","4770","19080","54","27","0","0","61","0","0","0","0.14","0.14","Severe","Severe","Santiago","Y","Y","Customs building - bars buckled in columns and captive columns with splice failures on back.",
"37","AD077","2-Jul","A&D","18° 33' 24.8"" N","72° 19' 34.7"" W","https://nees.org/site/collections/haiti/mainpics/AD077.JPG","https://nees.org/site/collections/haiti/Diagrams/AD077-Diagram.pdf","0.25","3","Concrete","2050","7341","26","13","0","0","55","63","6","0.08","0.17","0.25","Moderate","Moderate","Santiago","N","Y","Captive column shear crack on second floor of NE corner.  Captive columns persist mainly on the 2nd and 3rd floors.",
"38","AD079","2-Jul","A&D","18° 32' 7.5"" N","72° 20' 1.2"" W","https://nees.org/site/collections/haiti/mainpics/AD079.JPG","https://nees.org/site/collections/haiti/Diagrams/AD079-Diagram.pdf","0.17","3","Concrete","2349","8238","29","14","0","0","35","0","0","0","0.17","0.17","Severe","Severe","Santiago","N","Y","Shear cracks through captive columns, took dimensions from second floor.",
"39","AD081","2-Jul","A&D","18° 32' 29.5"" N","72° 20' 4.8"" W","https://nees.org/site/collections/haiti/mainpics/AD081.JPG","https://nees.org/site/collections/haiti/Diagrams/AD081-Diagram.pdf","0.2","4","Concrete","3483","15717","57","29","0","0","37","24","2","0.02","0.18","0.2","Moderate","Severe","Santiago","N","Y","They got a yellow mark.  We obtained pictures from the Haitian-American Institute that showed the damage after the earthquake.",
"40","B001","26-Jun","B","18° 33' 16.2"" N","72° 18' 12.2"" W","https://nees.org/site/collections/haiti/mainpics/B001.JPG","https://nees.org/site/collections/haiti/Diagrams/B001-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/B001-Diagram-2.pdf","0.16","2","Concrete","10187","20374","67","33","0","0","0","178","0","0","0.16","0.16","Severe","Severe","N/A","N","Y","MRF with CMU infill walls; RC framing in both directions.  St. Gonzague.",
"41","B002","26-Jun","B","18° 33' 18"" N","72° 18' 8.3"" W","https://nees.org/site/collections/haiti/mainpics/B002.JPG","https://nees.org/site/collections/haiti/Diagrams/B002-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/B002-Diagram-2.pdf","0.18","1","Concrete","8582","8582","30","15","0","0","0","49","0","0","0.18","0.18","Light","Severe","N/A","N","Y","Observations from outside only; overhanging beams have slight flexural cracking; RC frame.  St. Gonzague.",
"42","B003","26-Jun","B","18° 30' 40.6"" N","72° 17' 13.4"" W","https://nees.org/site/collections/haiti/mainpics/B003.JPG","https://nees.org/site/collections/haiti/Diagrams/B003-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/B003-Diagram-2.pdf","0.12","3","Concrete","4075","12225","26","13","0","0","21","12","1","0.01","0.11","0.12","Light","Moderate","N/A","N","Y","Split level structure; considering 3 of 4 floors above common playground; RC framing along longitudinal direction.  Lycee Petionville.",
"43","B004","26-Jun","B","18° 30' 39.6"" N","72° 17' 16.7"" W","https://nees.org/site/collections/haiti/mainpics/B004.JPG","https://nees.org/site/collections/haiti/Diagrams/B004-Diagram.pdf","0.26","2","Concrete","1710","3420","14","7","0","0","20","27","2","0.06","0.2","0.26","Light","N/A","N/A","N","N","RC gravity; no beams.  Freres de L'Instruction Chretienne.",
"44","B005","26-Jun","B","18° 31' 5.8"" N","72° 16' 58"" W","https://nees.org/site/collections/haiti/mainpics/B005.JPG","https://nees.org/site/collections/haiti/Diagrams/B005-Diagram.pdf","0.38","1","Concrete","3825","3825","29","14","0","0","0","26","0","0","0.38","0.38","Severe","Severe","N/A","N","N","Church, built in 1988; RC framing in both directions; school next to it is total loss/rubble.  Mission Premiere Eglise Chretienne.",
"45","B006","27-Jun","B","18° 33' 2.9"" N","72° 18' 4.9"" W","https://nees.org/site/collections/haiti/mainpics/B006.JPG","https://nees.org/site/collections/haiti/Diagrams/B006-Diagram.pdf","0.05","2","Concrete","2398","4796","5","2","0","0","0","0","0","0","0.05","0.05","Light","Severe","N/A","N","N","Tagged yellow; very few RC columns; no framing; CMU load bearing walls.  New Millenium School.",
"46","B007","27-Jun","B","18° 33' 2.9"" N","72° 18' 4.9"" W","https://nees.org/site/collections/haiti/mainpics/B007.JPG","https://nees.org/site/collections/haiti/Diagrams/B007-Diagram.pdf","0.18","3","Concrete","1448","4344","15","8","0","0","0","34","0","0","0.18","0.18","Severe","Severe","N/A","N","Y","Stirrup spacing ~6"" in col; cols along the outer edge of the additional section are not attached to second or third story --ground to roof--; RC frame in both directions.  New Millenium School - back building.",
"47","B008","27-Jun","B","18° 33' 5.3"" N","72° 18' 2.5"" W","https://nees.org/site/collections/haiti/mainpics/B008.JPG","https://nees.org/site/collections/haiti/Diagrams/B008-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/B008-Diagram-2.pdf","0.19","2","Concrete","2560","5120","20","10","0","0","0","0","0","0","0.19","0.19","Severe","Severe","N/A","Y","Y","RC framing in both directions; Split level structure; bottom story OK; entrance level has severe damage; minimal infill walls (ignored).  College Jean Moreno.",
"48","B009","27-Jun","B","18° 33' 3.9"" N","72° 18' 31.3"" W","https://nees.org/site/collections/haiti/mainpics/B009.JPG","https://nees.org/site/collections/haiti/Diagrams/B009-Diagram.pdf","0.22","2","Concrete","1745","3490","13","7","0","0","21","11","1","0.03","0.19","0.22","Severe","N/A","N/A","N/A","Y","First story collapse; total loss; RC flat slab.  Next to (South of) College Nova D'Haiti.",
"49","B010","27-Jun","B","18° 33' 4.2"" N","72° 18' 31.6"" W","https://nees.org/site/collections/haiti/mainpics/B010.JPG","https://nees.org/site/collections/haiti/Diagrams/B010-Diagram.pdf","0.06","3","Concrete","2759","8277","10","5","0","0","0","0","0","0","0.06","0.06","Severe","N/A","N/A","N/A","Y","First story collapse; total loss; RC flat slab.  College Nova D'Haiti.",
"50","B011","27-Jun","B","18° 33' 7.7"" N","72° 18' 30.9"" W","https://nees.org/site/collections/haiti/mainpics/B011.JPG","https://nees.org/site/collections/haiti/Diagrams/B011-Diagram.pdf","0.16","2","Concrete","6068","12136","38","19","0","0","0","24","0","0","0.16","0.16","Severe","Severe","N/A","N","Y","A portion of it is 2-story RC framing in both directions; rest is 3-story flat plate.  Modern Vision School.",
"51","B012","27-Jun","B","18° 33' 22.6"" N","72° 20' 20.2"" W","https://nees.org/site/collections/haiti/mainpics/B012.JPG","https://nees.org/site/collections/haiti/Diagrams/B012-Diagram.pdf","0.22","2","Concrete","3634","7268","32","16","0","0","38","0","0","0","0.22","0.22","Moderate","Severe","N/A","N","Y","Diagonal cracking starting in captive columns; infill walls damaged; corner round infill wall total loss; RC framing in both directions.  Faculty of Law of UEH.",
"52","B013","27-Jun","B","18° 32' 13.3"" N","72° 20' 0.4"" W","https://nees.org/site/collections/haiti/mainpics/B013.JPG","https://nees.org/site/collections/haiti/Diagrams/B013-Diagram.pdf","0.17","3","Concrete","1460","4380","14","7","0","0","22","0","0","0","0.17","0.17","Severe","Severe","N/A","Y","Y","Back East corner column total loss; RC framing along bldg transverse direction.  Avenue Christ of #103.",
"53","B014","28-Jun","B","18° 30' 59.9"" N","72° 37' 54.4"" W","https://nees.org/site/collections/haiti/mainpics/B014.JPG","https://nees.org/site/collections/haiti/Diagrams/B014-Diagram.pdf","0.73","1","Concrete","3099","3099","45","23","0","0","0","0","0","0","0.73","0.73","Moderate","Moderate","N/A","N","Y","RC framing in both directions; cracking in captive columns only, otherwise looks very sturdy.  Leogane - Radio Station.",
